# Cubic data
# Format:
# id;level;life time;m.atk;attack count;reuse delay;attack probability;skillId-skillLvl;skillId-skillLvl;...

# Storm Cubic (dd)
1;1;900;282;30;10;12;4049-1;
1;2;900;434;30;10;12;4049-2;
1;3;900;644;30;10;12;4049-3;
1;4;900;919;30;10;12;4049-4;
1;5;900;1141;30;10;12;4049-5;
1;6;900;1394;30;10;12;4049-6;
1;7;900;1673;30;10;12;4049-7;
1;8;900;1975;30;10;12;4049-8;
# Storm Cubic Enchant Power
1;9;900;2081;30;10;12;4049-9;
1;10;900;2133;30;10;12;4049-10;
1;11;900;2184;30;10;12;4049-11;
1;12;900;2234;30;10;12;4049-12;
1;13;900;2283;30;10;12;4049-13;
1;14;900;2331;30;10;12;4049-14;
1;15;900;2378;30;10;12;4049-15;
1;16;900;2423;30;10;12;4049-16;

# Vampiric Cubic (drain)
2;1;900;351;20;15;8;4050-1;
2;2;900;531;20;15;8;4050-2;
2;3;900;773;20;15;8;4050-3;
2;4;900;1026;20;15;8;4050-4;
2;5;900;1264;20;15;8;4050-5;
2;6;900;1530;20;15;8;4050-6;
2;7;900;1822;20;15;8;4050-7;
# Vampiric Cubic Enchant Power
2;8;900;1919;20;15;8;4050-9;
2;9;900;1967;20;15;8;4050-10;
2;10;900;2015;20;15;8;4050-11;
2;11;900;2061;20;15;8;4050-12;
2;12;900;2106;20;15;8;4050-13;
2;13;900;2151;20;15;8;4050-14;
2;14;900;2194;20;15;8;4050-15;
2;15;900;2235;20;15;8;4050-16;

# Life Cubic (heal)
3;1;900;0;20;13;33;4051-1;
3;2;900;0;20;13;33;4051-2;
3;3;900;0;20;13;33;4051-3;
3;4;900;0;20;13;33;4051-4;
3;5;900;0;20;13;33;4051-5;
3;6;900;0;20;13;33;4051-6;
3;7;900;0;20;13;33;4051-7;
# Life Cubic Enchant Power
3;8;900;0;20;13;33;4051-8;
3;9;900;0;20;13;33;4051-9;
3;10;900;0;20;13;33;4051-10;
3;11;900;0;20;13;33;4051-11;
3;12;900;0;20;13;33;4051-12;
3;13;900;0;20;13;33;4051-13;
3;14;900;0;20;13;33;4051-14;
3;15;900;0;20;13;33;4051-15;
3;16;900;0;20;13;33;4051-16;

# Adventurer's Life Cubic
3;20;3600;0;20;13;33;4051-20;

# Viper Cubic (poison)
4;1;900;531;15;20;20;4052-1;
4;2;900;773;15;20;20;4052-2;
4;3;900;1026;15;20;20;4052-3;
4;4;900;1264;15;20;20;4052-4;
4;5;900;1530;15;20;20;4052-5;
4;6;900;1822;15;20;20;4052-6;
# Viper Cubic Enchant Power
4;7;900;1919;15;20;20;4052-8;
4;8;900;1967;15;20;20;4052-9;
4;9;900;2015;15;20;20;4052-10;
4;10;900;2061;15;20;20;4052-11;
4;11;900;2106;15;20;20;4052-12;
4;12;900;2151;15;20;20;4052-13;
4;13;900;2194;15;20;20;4052-14;
4;14;900;2235;15;20;20;4052-15;

# Phantom Cubic (debuff)
5;1;900;282;30;8;30;4053-1;4054-1;4055-1;
5;2;900;434;30;8;30;4053-2;4054-2;4055-2;
5;3;900;644;30;8;30;4053-3;4054-3;4055-3;
5;4;900;919;30;8;30;4053-4;4054-4;4055-4;
5;5;900;1141;30;8;30;4053-5;4054-5;4055-5;
5;6;900;1394;30;8;30;4053-6;4054-6;4055-6;
5;7;900;1673;30;8;30;4053-7;4054-7;4055-7;
5;8;900;1975;30;8;30;4053-8;4054-8;4055-8;
# Phantom Cubic Enchant Power
5;9;900;2081;30;8;30;4053-9;4054-9;4055-9;
5;10;900;2133;30;8;30;4053-10;4054-10;4055-10;
5;11;900;2184;30;8;30;4053-11;4054-11;4055-11;
5;12;900;2234;30;8;30;4053-12;4054-12;4055-12;
5;13;900;2283;30;8;30;4053-13;4054-13;4055-13;
5;14;900;2331;30;8;30;4053-14;4054-14;4055-14;
5;15;900;2378;30;8;30;4053-15;4054-15;4055-15;
5;16;900;2423;30;8;30;4053-16;4054-16;4055-16;

# Binding Cubic (paralyze)
6;1;900;282;30;10;12;4164-1;
6;2;900;377;30;10;12;4164-2;
6;3;900;497;30;10;12;4164-3;
6;4;900;644;30;10;12;4164-4;
6;5;900;820;30;10;12;4164-5;
6;6;900;1026;30;10;12;4164-6;
6;7;900;1264;30;10;12;4164-7;
6;8;900;1530;30;10;12;4164-8;
6;9;900;1822;30;10;12;4164-9;
# Binding Cubic Enchant Power
6;10;900;1919;30;10;12;4164-11;
6;11;900;1967;30;10;12;4164-12;
6;12;900;2015;30;10;12;4164-13;
6;13;900;2061;30;10;12;4164-14;
6;14;900;2151;30;10;12;4164-15;
6;15;900;2194;30;10;12;4164-16;
6;16;900;2235;30;10;12;4164-17;
6;17;900;2275;30;10;12;4164-18;

# Aqua Cubic (water dot)
7;1;900;282;10;30;30;4165-1;
7;2;900;377;10;30;30;4165-2;
7;3;900;497;10;30;30;4165-3;
7;4;900;644;10;30;30;4165-4;
7;5;900;820;10;30;30;4165-5;
7;6;900;1141;10;30;30;4165-6;
7;7;900;1394;10;30;30;4165-7;
7;8;900;1673;10;30;30;4165-8;
7;9;900;1975;10;30;30;4165-9;
# Aqua Cubic Enchant Power
7;10;900;2081;10;30;30;4165-10;
7;11;900;2133;10;30;30;4165-11;
7;12;900;2184;10;30;30;4165-12;
7;13;900;2234;10;30;30;4165-13;
7;14;900;2283;10;30;30;4165-14;
7;15;900;2331;10;30;30;4165-15;
7;16;900;2378;10;30;30;4165-16;
7;17;900;2423;10;30;30;4165-17;

# Spark Cubic (stun)
8;1;900;282;30;10;12;4166-1;
8;2;900;377;30;10;12;4166-2;
8;3;900;497;30;10;12;4166-3;
8;4;900;644;30;10;12;4166-4;
8;5;900;820;30;10;12;4166-5;
8;6;900;1026;30;10;12;4166-6;
8;7;900;1264;30;10;12;4166-7;
8;8;900;1530;30;10;12;4166-8;
8;9;900;1822;30;10;12;4166-9;
# Spark Cubic Enchant Power
8;10;900;1919;30;10;12;4166-11;
8;11;900;1967;30;10;12;4166-12;
8;12;900;2015;30;10;12;4166-13;
8;13;900;2061;30;10;12;4166-14;
8;14;900;2151;30;10;12;4166-15;
